HH_ID,Region,HHsize,HHincome,Car_own,NofTrips,Walk_share,Auto_share,Transit_share,Taxi_share,Bike_share,Other_share
17120,B,3,6,2,7,1.00,0.00,0.00,0.00,0.00,0.00
17205,B,3,4,1,10,0.60,0.00,0.40,0.00,0.00,0.00
23416,B,3,2,1,12,0.67,0.00,0.33,0.00,0.00,0.00
23423,B,3,4,1,12,0.50,0.17,0.33,0.00,0.00,0.00
23502,B,3,3,1,18,0.67,0.00,0.33,0.00,0.00,0.00
23504,B,3,4,1,16,0.50,0.19,0.31,0.00,0.00,0.00
30148,B,2,1,1,8,0.50,0.00,0.50,0.00,0.00,0.00
30227,B,1,4,1,2,1.00,0.00,0.00,0.00,0.00,0.00
30336,B,2,3,2,5,0.00,0.00,0.00,0.00,1.00,0.00
30380,A,2,3,1,5,0.80,0.20,0.00,0.00,0.00,0.00
30446,B,3,4,1,9,0.44,0.56,0.00,0.00,0.00,0.00
30536,B,4,4,1,8,0.75,0.25,0.00,0.00,0.00,0.00
30579,B,1,3,2,4,1.00,0.00,0.00,0.00,0.00,0.00
30633,A,1,3,1,2,0.00,1.00,0.00,0.00,0.00,0.00
30684,B,1,3,1,4,1.00,0.00,0.00,0.00,0.00,0.00
30746,B,2,4,1,15,0.53,0.00,0.47,0.00,0.00,0.00
30836,B,1,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
30876,B,2,4,1,4,0.50,0.50,0.00,0.00,0.00,0.00
30957,A,3,4,1,9,0.44,0.22,0.22,0.11,0.00,0.00
31034,B,2,4,1,5,1.00,0.00,0.00,0.00,0.00,0.00
31068,B,2,4,1,4,1.00,0.00,0.00,0.00,0.00,0.00
31218,B,2,3,1,4,1.00,0.00,0.00,0.00,0.00,0.00
31250,B,1,3,2,8,0.50,0.00,0.50,0.00,0.00,0.00
31386,B,1,2,2,2,0.00,0.00,1.00,0.00,0.00,0.00
31407,B,2,1,2,2,1.00,0.00,0.00,0.00,0.00,0.00
31460,B,2,3,2,6,0.67,0.00,0.33,0.00,0.00,0.00
31520,B,2,4,2,16,0.50,0.00,0.50,0.00,0.00,0.00
31547,A,1,3,1,2,0.00,1.00,0.00,0.00,0.00,0.00
31629,B,1,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
31648,B,1,2,2,2,0.00,0.00,0.00,0.00,1.00,0.00
31697,A,2,4,1,6,0.67,0.33,0.00,0.00,0.00,0.00
31749,B,2,2,1,6,0.67,0.00,0.33,0.00,0.00,0.00
31796,B,1,3,1,6,0.67,0.00,0.33,0.00,0.00,0.00
31909,A,3,4,1,4,0.00,1.00,0.00,0.00,0.00,0.00
31978,A,2,4,1,4,0.00,1.00,0.00,0.00,0.00,0.00
32031,A,4,4,1,6,0.33,0.67,0.00,0.00,0.00,0.00
32057,A,1,4,1,2,0.00,1.00,0.00,0.00,0.00,0.00
32095,A,1,4,1,2,0.00,1.00,0.00,0.00,0.00,0.00
32205,B,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
32275,B,1,1,2,10,0.40,0.00,0.60,0.00,0.00,0.00
32294,B,1,1,2,3,1.00,0.00,0.00,0.00,0.00,0.00
32355,B,1,3,2,6,0.67,0.00,0.33,0.00,0.00,0.00
32378,B,1,4,1,4,0.50,0.50,0.00,0.00,0.00,0.00
32397,B,1,3,1,2,0.00,1.00,0.00,0.00,0.00,0.00
32891,B,1,1,2,3,1.00,0.00,0.00,0.00,0.00,0.00
32917,B,1,1,2,6,0.67,0.00,0.33,0.00,0.00,0.00
32966,B,5,5,1,4,0.00,1.00,0.00,0.00,0.00,0.00
33005,B,3,5,1,4,0.00,0.50,0.00,0.50,0.00,0.00
33054,A,3,5,1,10,0.40,0.20,0.40,0.00,0.00,0.00
33113,C,2,5,1,2,0.00,1.00,0.00,0.00,0.00,0.00
33204,B,1,3,1,13,0.54,0.00,0.46,0.00,0.00,0.00
33248,A,2,4,1,8,0.50,0.38,0.13,0.00,0.00,0.00
33329,A,2,3,1,13,0.38,0.23,0.38,0.00,0.00,0.00
33366,B,2,2,2,9,0.78,0.00,0.22,0.00,0.00,0.00
33387,B,4,5,1,21,0.48,0.10,0.43,0.00,0.00,0.00
33393,B,1,5,1,2,1.00,0.00,0.00,0.00,0.00,0.00
33438,A,3,4,1,19,0.58,0.11,0.32,0.00,0.00,0.00
